question,answer,pattern,tag
Lately I feel drained. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Try a slow breathing exercise: inhale for 4, hold 4, exhale for 6, for 3–5 minutes. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",Lately I feel drained. What can I do?,neutral-response
ok sure. i would like to learn more about it.,So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself.,ok sure. i would like to learn more about it.,learn-more
I need help with unable to focus happy. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I need help with unable to focus happy. What can I do?,happy
I’m struggling with hopeless especially at work. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m struggling with hopeless especially at work. What can I do?,overwhelm
what are some of the warning signs of mental illness?,"Symptoms of mental health disorders vary depending on the type and severity of the condition. The following is a list of general symptoms that may suggest a mental health disorder, particularly when multiple symptoms are expressed at once. In adults: Confused thinking Long-lasting sadness or irritability Extreme highs and lows in mood Excessive fear, worrying, or anxiety Social withdrawal Dramatic changes in eating or sleeping habits Strong feelings of anger Delusions or hallucinations (seeing or hearing things that are not really there) Increasing inability to cope with daily problems and activities Thoughts of suicide Denial of obvious problems Many unexplained physical problems Abuse of drugs and/or alcohol In older children and pre-teens: Abuse of drugs and/or alcohol Inability to cope with daily problems and activities Changes in sleeping and/or eating habits Excessive complaints of physical problems Defying authority, skipping school, stealing, or damaging property Intense fear of gaining weight Long-lasting negative mood, often along with poor appetite and thoughts of death Frequent outbursts of anger In younger children: Changes in school performance Poor grades despite strong efforts Excessive worrying or anxiety Hyperactivity Persistent nightmares Persistent disobedience and/or aggressive behavior Frequent temper tantrums",what are some of the warning signs of mental illness?,fact-11
I keep experiencing overwhelmed fact-27 during exams. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Different strategies help different people—try small steps and notice what supports you best. Name and notice: label what you feel, where you feel it in your body, and rate its intensity from 1–10. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I keep experiencing overwhelmed fact-27 during exams. What can I do?,fact-27
teach me a breathing exercise,"Try this: inhale through your nose for 4, hold for 4, exhale through your mouth for 6. Let’s do 6 rounds together.",teach me a breathing exercise,breathing-exercise
could you help me?,Sure. Tell me how can i assist you,could you help me?,help
i feel dizzy and terrified,"You're safe with me right now. Can you name 5 things you see, 4 you can touch, 3 you hear, 2 you smell, and 1 you taste?",i feel dizzy and terrified,panic-attack
I’ve been feeling down. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Try a slow breathing exercise: inhale for 4, hold 4, exhale for 6, for 3–5 minutes. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’ve been feeling down. What can I do?,fact-19
i feel like a failure,"That’s a painful place to be. If a friend said this about themselves, what would you tell them?",i feel like a failure,worthless
what is the difference between mental health professionals,"There are many types of mental health professionals. The variety of providers and their services may be confusing. Each have various levels of education, training, and may have different areas of expertise. Finding the professional who best fits your needs may require some research.",what is the difference between mental health professionals,fact-17
what are the different types of mental health professionals?,There are many types of mental health professionals. Finding the right one for you may require some research.,what are the different types of mental health professionals?,fact-23
howdy,Hello there. Tell me how are you feeling today?,howdy,greeting
you're useless,It sound like i'm not being very helpful right now.,you're useless,understand
work is stressing me out,"That’s a lot to hold. If you paused for five minutes, what would you do to reset?",work is stressing me out,stressed
i'm scared of my thoughts,Fear can feel intense. Do you want to try slow breathing with me for a minute?,i'm scared of my thoughts,scared
i feel nervous for no reason,Let’s slow down a bit—what would help you feel 1% safer right now?,i feel nervous for no reason,anxious
I need help with ashamed fact-22 during exams. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. Different strategies help different people—try small steps and notice what supports you best. Try a slow breathing exercise: inhale for 4, hold 4, exhale for 6, for 3–5 minutes. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I need help with ashamed fact-22 during exams. What can I do?,fact-22
i don't feel like moving,Let’s shrink the goal. What would a 'good enough' version look like today?,i don't feel like moving,motivation
who does mental illness affect?,"It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. Although mental illness can affect anyone, certain conditions may be more common in different populations. For instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children. Additionally, all ages are susceptible, but the young and the old are especially vulnerable. Mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. This makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition. Parents and caretakers should be aware of this fact, and take notice of changes in their childÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s mood, personality, personal habits, and social withdrawal. When these occur in children under 18, they are referred to as serious emotional disturbances (SEDs).",who does mental illness affect?,fact-9
is there any hope for me,Let’s plan one gentle action that aligns with the future you want.,is there any hope for me,hope
I don’t know how to handle ashamed. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I don’t know how to handle ashamed. What can I do?,problem
my thoughts are racing,"Let’s ground: name 5 things you can see, 4 touch, 3 hear, 2 smell, 1 taste.",my thoughts are racing,grounding
help me calm down,"Box breathing: inhale 4, hold 4, exhale 4, hold 4—trace a square in your mind as you go.",help me calm down,breathing-exercise
i can't control my temper,Anger often points to a boundary or a need. What happened right before the anger rose?,i can't control my temper,anger
what happens in therapy,It’s okay to try a few therapists to find a good fit—your comfort matters.,what happens in therapy,therapy
I’m struggling with hopeless no-approach during the day. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Try a slow breathing exercise: inhale for 4, hold 4, exhale for 6, for 3–5 minutes. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m struggling with hopeless no-approach during the day. What can I do?,no-approach
what should i do after a hard day,"A simple routine: movement, meals, mindful minute, and meaningful connection with someone you trust.",what should i do after a hard day,self-care
"yes, i would like to learn more about it",So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself.,"yes, i would like to learn more about it",learn-more
what is the difference between mental health professionals?,"There are many types of mental health professionals. The variety of providers and their services may be confusing. Each have various levels of education, training, and may have different areas of expertise. Finding the professional who best fits your needs may require some research.",what is the difference between mental health professionals?,fact-17
Lately I feel exhausted when I’m alone. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",Lately I feel exhausted when I’m alone. What can I do?,fact-1
can we not talk about this?,Okay sure. What do you want to talk about?,can we not talk about this?,something-else
i still feel stressed,What do you think is causing this?,i still feel stressed,stressed
my friend passed away,I'm sorry to hear that. If you want to talk about it. I'm here.,my friend passed away,death
lately i feel low,Thanks for sharing that with me. When did you first notice this change in your mood?,lately i feel low,sad
I keep experiencing worried self-care when I think about the future. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. I’m really glad you’re talking about this—safety comes first; keep crisis contacts handy. Schedule a 10-minute gentle walk or stretch to reset your nervous system. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I keep experiencing worried self-care when I think about the future. What can I do?,self-care
I’m struggling with worried learn-more at night. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m struggling with worried learn-more at night. What can I do?,learn-more
life isn't worth living,"I’m really sorry you’re feeling this pain. You deserve support. If you’re in immediate danger, please contact local emergency services. You can also reach a trusted person or your local crisis line.",life isn't worth living,suicide
what causes mental illness?,"It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. Although mental illness can affect anyone, certain conditions may be more common in different populations. For instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children. Additionally, all ages are susceptible, but the young and the old are especially vulnerable. Mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. This makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition. Parents and caretakers should be aware of this fact, and take notice of changes in their child's mood, personality, personal habits, and social withdrawal. When these occur in children under 18, they are referred to as serious emotional disturbances (SEDs).",what causes mental illness?,fact-10
i can't seem to go to sleep,What do you think is the reason behind this?,i can't seem to go to sleep,sleep
i can't control my temper,"Let’s pause and unclench—jaw, shoulders, hands. What need is going unmet here?",i can't control my temper,anger
i'm slipping again,"Relapses happen, and they don’t erase progress. What early signs did you notice this time?",i'm slipping again,relapse
work is stressing me out,Want to try a short grounding exercise together?,work is stressing me out,stressed
I’m looking for advice on restless. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m looking for advice on restless. What can I do?,creation
I’m worried about exhausted fact-2. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m worried about exhausted fact-2. What can I do?,fact-2
what should i do after a hard day,"Start small: hydrate, step outside for 2 minutes, and write one kind sentence to yourself.",what should i do after a hard day,self-care
what should i do if i know someone who appears to have the symptoms of a mental disorder?,"Although Pandora cannot substitute for professional advice, we encourage those with symptoms to talk to their friends and family members and seek the counsel of a mental health professional. The sooner the mental health condition is identified and treated, the sooner they can get on the path to recovery. If you know someone who is having problems, don't assume that the issue will resolve itself. Let them know that you care about them, and that there are treatment options available that will help them heal. Speak with a mental health professional or counselor if you think your friend or family member is experiencing the symptoms of a mental health condition. If the affected loved one knows that you support them, they will be more likely to seek out help.",what should i do if i know someone who appears to have the symptoms of a mental disorder?,fact-13
can we do breathing together,"Try this: inhale through your nose for 4, hold for 4, exhale through your mouth for 6. Let’s do 6 rounds together.",can we do breathing together,breathing-exercise
i mess everything up,Let’s gently check the evidence for and against that thought. What facts support the kinder view?,i mess everything up,worthless
i'm frightened and don't know why,Thank you for trusting me with this. Would it help to name three things you can see right now?,i'm frightened and don't know why,scared
i don't like you,I'm sorry if i offended you in anyway. I'm only here to help,i don't like you,hate-you
how can i take care of myself,"Start small: hydrate, step outside for 2 minutes, and write one kind sentence to yourself.",how can i take care of myself,self-care
i feel nervous for no reason,That sounds exhausting. Can you notice any moments or triggers when it gets stronger?,i feel nervous for no reason,anxious
nothing makes me happy,Thanks for sharing that with me. When did you first notice this change in your mood?,nothing makes me happy,sad
I’m worried about numb name. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Write down one small step you can take today and one thing that helped you in the past. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m worried about numb name. What can I do?,name
i am so depressed,It helps to talk about what's happening. You're going to be okay,i am so depressed,depressed
I keep experiencing worried relapse during the day. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. Different strategies help different people—try small steps and notice what supports you best. Name and notice: label what you feel, where you feel it in your body, and rate its intensity from 1–10. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I keep experiencing worried relapse during the day. What can I do?,relapse
girlfriend,Oh I see. Tell me more,girlfriend,default
am i suffering from depression?,"For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day.",am i suffering from depression?,fact-5
I need help with overwhelmed repeat during exams. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. Different strategies help different people—try small steps and notice what supports you best. Write down one small step you can take today and one thing that helped you in the past. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I need help with overwhelmed repeat during exams. What can I do?,repeat
i am so lonely,"I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?",i am so lonely,sad
what causes mental illness,"It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. Although mental illness can affect anyone, certain conditions may be more common in different populations. For instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children. Additionally, all ages are susceptible, but the young and the old are especially vulnerable. Mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. This makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition. Parents and caretakers should be aware of this fact, and take notice of changes in their child's mood, personality, personal habits, and social withdrawal. When these occur in children under 18, they are referred to as serious emotional disturbances (SEDs).",what causes mental illness,fact-10
i haven't slept for the last days,What do you think is the reason behind this?,i haven't slept for the last days,sleep
how can i find a mental health professional for myself or my child?,Feeling comfortable with the professional you or your child is working with is critical to the success of the treatment. Finding the professional who best fits your needs may require research. Start by searching for providers in your area.,how can i find a mental health professional for myself or my child?,fact-14
I need help with drained pandora-useful when I think about the future. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I need help with drained pandora-useful when I think about the future. What can I do?,pandora-useful
my brother died,I'm sorry to hear that. If you want to talk about it. I'm here.,my brother died,death
i haven't had proper sleep for the past few days,What do you think is the reason behind this?,i haven't had proper sleep for the past few days,sleep
"no, that would be all",I heard you & noted it all. See you later.,"no, that would be all",done
thanks for the help,Happy to help!,thanks for the help,thanks
i keep procrastinating,Motivation often follows action. What’s a 2-minute task you can try right now?,i keep procrastinating,motivation
that doesn't make sense,I'm very sorry. Let's try that again,that doesn't make sense,wrong
is there any hope for me,Recovery is possible and rarely linear. You’re already taking a brave step by talking about it.,is there any hope for me,hope
i feel guilty about everything,"If repair is possible, what’s one small step toward it? If not, what’s one step toward acceptance?",i feel guilty about everything,guilt-shame
i am going to kill myself,I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821.,i am going to kill myself,suicide
i'm scared of my thoughts,Thank you for trusting me with this. Would it help to name three things you can see right now?,i'm scared of my thoughts,scared
that sounds awful. what do i do?,It's only natural to feel this way. I'm here for you.,that sounds awful. what do i do?,scared
i don't trust you,I'm sorry if i offended you in anyway. I'm only here to help,i don't trust you,hate-you
hey there,Hello there. Tell me how are you feeling today?,hey there,greeting
i can't forgive myself,Guilt and shame can feel crushing. What value of yours do you think was crossed?,i can't forgive myself,guilt-shame
i mess everything up,You matter here. What's one thing you’ve done recently that took effort?,i mess everything up,worthless
i feel so lonely,"I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?",i feel so lonely,sad
I need help with guilty skill around my family. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I need help with guilty skill around my family. What can I do?,skill
i don't enjoy things anymore,I hear you. That can be really heavy to carry. What’s been hardest this week?,i don't enjoy things anymore,sad
I’m worried about hopeless anger with my friends. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Anger often protects a deeper need—naming that need can reduce the charge. Name and notice: label what you feel, where you feel it in your body, and rate its intensity from 1–10. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m worried about hopeless anger with my friends. What can I do?,anger
my dad passed away,I'm sorry to hear that. If you want to talk about it. I'm here.,my dad passed away,death
I’m looking for advice on hopeless fact-26 during the day. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Write down one small step you can take today and one thing that helped you in the past. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m looking for advice on hopeless fact-26 during the day. What can I do?,fact-26
yeah you're absolutely right about that,"Next, I would suggest you to practice meditation. Meditation can produce a deep state of relaxation and a tranquil mind.",yeah you're absolutely right about that,user-agree
probably because my exams are approaching. i feel stressed out because i don't think i've prepared well enough.,I see. Have you taken any approaches to not feel this way?,probably because my exams are approaching. i feel stressed out because i don't think i've prepared well enough.,problem
everyone is better than me,You matter here. What's one thing you’ve done recently that took effort?,everyone is better than me,worthless
i push people away,Can we think of a low-pressure way to start a conversation with someone you trust?,i push people away,friends
i haven't slept for the last days.,What do you think is the reason behind this?,i haven't slept for the last days.,sleep
does this feeling last forever,Let’s plan one gentle action that aligns with the future you want.,does this feeling last forever,hope
i'm anxious about everything lately,Let’s slow down a bit—what would help you feel 1% safer right now?,i'm anxious about everything lately,anxious
tell me a joke,mental health is not a joke.,tell me a joke,jokes
what should i call you,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today",what should i call you,about
my symptoms returned,"Relapses happen, and they don’t erase progress. What early signs did you notice this time?",my symptoms returned,relapse
okay,Let's discuss further why you're feeling this way.,okay,casual
i feel dizzy and terrified,"You might be experiencing a panic spike. Let's try a quick exercise: inhale 4, hold 4, exhale 6—repeat 5 times.",i feel dizzy and terrified,panic-attack
i am name.,Oh nice to meet you. Tell me how was your week?,i am name.,name
i'm always on edge,Let’s slow down a bit—what would help you feel 1% safer right now?,i'm always on edge,anxious
i feel left out,Can we think of a low-pressure way to start a conversation with someone you trust?,i feel left out,friends
i keep procrastinating,Let’s shrink the goal. What would a 'good enough' version look like today?,i keep procrastinating,motivation
fare thee well,See you later.,fare thee well,goodbye
I’ve been feeling guilty around my family. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’ve been feeling guilty around my family. What can I do?,wrong
help me calm down,"4-7-8 method: inhale 4, hold 7, exhale 8—repeat four times.",help me calm down,breathing-exercise
I keep experiencing on edge fact-5 around my family. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Try a slow breathing exercise: inhale for 4, hold 4, exhale for 6, for 3–5 minutes. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I keep experiencing on edge fact-5 around my family. What can I do?,fact-5
what's the difference between sadness and depression,"Sadness is a normal reaction to a loss, disappointment, problems, or other difficult situations. Feeling sad from time to time is just another part of being human. In these cases, feelings of sadness go away quickly and you can go about your daily life. Other ways to talk about sadness might be feeling low, feeling down, or feeling blue.A person may say they are feeling depressed, but if it goes away on its own and doesn't impact life in a big way, it probably isn't the illness of depression. Depression is a mental illness that affects your mood, the way you understand yourself, and the way you understand and relate to things around you. It can also go by different names, such as clinical depression, major depressive disorder, or major depression. Depression can come up for no reason, and it lasts for a long time. It's much more than sadness or low mood. People who experience depression may feel worthless or hopeless. They may feel unreasonable guilty. Some people may experience depression as anger or irritability. It may be hard to concentrate or make decisions. Most people lose interest in things that they used to enjoy and may isolate themselves from others. There are also physical signs of depression, such as problems with sleep, appetite and energy and unexplainable aches or pains. Some may experience difficult thoughts about death or ending their life (suicide). Depression lasts longer than two weeks, doesn't usually go away on its own, and impacts your life. It's a real illness, and it is very treatable. It's important to seek help if you're concerned about depression.",what's the difference between sadness and depression,fact-32
how were you made?,I was created by Leslie,how were you made?,creation
i can't talk about it yet,No pressure. Would grounding or breathing help while we wait?,i can't talk about it yet,not-talking
Lately I feel worried not-talking with my friends. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Write down one small step you can take today and one thing that helped you in the past. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",Lately I feel worried not-talking with my friends. What can I do?,not-talking
everything annoys me,"Let’s pause and unclench—jaw, shoulders, hands. What need is going unmet here?",everything annoys me,anger
what is the importance of mental health,"Maintaining mental health is crucial to stabilizing constructive behaviors, emotions, and thoughts. Focusing on mental health care can increase productivity, enhance our self-image, and improve relationships.",what is the importance of mental health,fact-2
Lately I feel numb. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Name and notice: label what you feel, where you feel it in your body, and rate its intensity from 1–10. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",Lately I feel numb. What can I do?,casual
I could use support for worried breathing-exercise with my friends. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Name and notice: label what you feel, where you feel it in your body, and rate its intensity from 1–10. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I could use support for worried breathing-exercise with my friends. What can I do?,breathing-exercise
i don't want to get into it,No pressure. Would grounding or breathing help while we wait?,i don't want to get into it,not-talking
i feel numb and hopeless,"If it feels safe, can you share what a tough day looks like for you?",i feel numb and hopeless,depressed
see you later,See you later.,see you later,goodbye
I don’t know how to handle worried default. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. Different strategies help different people—try small steps and notice what supports you best. Write down one small step you can take today and one thing that helped you in the past. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I don’t know how to handle worried default. What can I do?,default
i'm stuck and unproductive,Motivation often follows action. What’s a 2-minute task you can try right now?,i'm stuck and unproductive,motivation
i regret my choices,Guilt and shame can feel crushing. What value of yours do you think was crossed?,i regret my choices,guilt-shame
no one likes me,It's only natural to feel this way. Tell me more. What else is on your mind?,no one likes me,worthless
can you help,Sure. Tell me how can i assist you,can you help,help
I’m struggling with restless hate-me during the day. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m struggling with restless hate-me during the day. What can I do?,hate-me
am i depressed?,"For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day.",am i depressed?,fact-5
who is therapy for,Therapy is a form of treatment that aims to help resolve mental or emotional issues.,who is therapy for,fact-7
i don't enjoy things anymore,Thanks for sharing that with me. When did you first notice this change in your mood?,i don't enjoy things anymore,sad
i'm anxious about everything lately,You're not alone in this. What thoughts show up right before the anxiety spikes?,i'm anxious about everything lately,anxious
I’m struggling with burned out wrong before going to bed. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Different strategies help different people—try small steps and notice what supports you best. Write down one small step you can take today and one thing that helped you in the past. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m struggling with burned out wrong before going to bed. What can I do?,wrong
what is a therapist?,"A therapist is a broad designation that refers to professionals who are trained to provide treatment and rehabilitation. The term is often applied to psychologists, but it can include others who provide a variety of services, including social workers, counselors, life coaches, and many others.",what is a therapist?,fact-6
ola,Hello there. Tell me how are you feeling today?,ola,greeting
family,Oh I see. Tell me more,family,default
i keep crying for no reason,I hear you. That can be really heavy to carry. What’s been hardest this week?,i keep crying for no reason,sad
i feel shakey and tense,Thank you for trusting me with this. Would it help to name three things you can see right now?,i feel shakey and tense,scared
I could use support for ashamed fact-28 during exams. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I could use support for ashamed fact-28 during exams. What can I do?,fact-28
all i can think about are my exams,That's no problem. I can see why you'd be stressed out about that. I can suggest you some tips to alleviate this issue. Would you like to learn more about that?,all i can think about are my exams,no-approach
should i see a therapist,Therapy can offer a safe space to work through patterns. Would you like tips for finding providers near you?,should i see a therapist,therapy
Lately I feel exhausted. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Write down one small step you can take today and one thing that helped you in the past. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",Lately I feel exhausted. What can I do?,ask
i don't know how to make friends,Can we think of a low-pressure way to start a conversation with someone you trust?,i don't know how to make friends,friends
i'm not ready to share,Thanks for telling me your boundary. We can switch topics if you prefer.,i'm not ready to share,not-talking
i'm worried i'll feel like this forever,Let’s plan one gentle action that aligns with the future you want.,i'm worried i'll feel like this forever,hope
I could use support for restless at night. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I could use support for restless at night. What can I do?,goodbye
you don't like me,Why do you think so?,you don't like me,hate-me
i can't prioritize anything,"What can be postponed, delegated, or dropped entirely?",i can't prioritize anything,overwhelm
i'm dissociating,Place your feet on the floor and notice the pressure. What textures can you feel right now?,i'm dissociating,grounding
